sample_name	altitude	anonymized_name	bile_sample	biomass_even	biomass_quartile	climate	collection_substrate	collection_timestamp	collection_year	common_name	condition_factor	conservation_status	control	control_2	control_cell_into_extraction	control_org	depth_high_range_m	depth_low_range_m	depth_m	description	diet	diet_reference	dist_to_dorsal_cm	distance_from_shore_m	dna_extracted	dnaplate_column	dnaplate_row	dnaplate_well_id	elevation	empo_1	empo_2	empo_3	env	env0	env_biome	env_feature	env_material	env_package	evo_distanceto_mackerel_median_mya	evo_timetree_species_name	extraction_cleanup	extraction_date	extraction_lot	extraction_mass_g	extraction_notes	extraction_notes_gill	extraction_plate_name	fish_collection_method	fl_cm	fmp_number	gamma_include	gape_cm	general_location	geo_loc_name	gi_cm	hab_notes	hab_sum	habitat_act_collection	habitat_be	habitat_cp	habitat_depth_level1	habitat_depth_level2	habitat_drf	habitat_dslp	habitat_is	habitat_kbrf	habitat_mdrf	habitat_ms	habitat_os	habitat_p	habitat_ref	habitat_rit	habitat_rst	habitat_sslp	habitat_sz	host_age	host_age_units	host_body_habitat	host_body_mass_index	host_body_product	host_body_site	host_common_name	host_common_name_	host_height	host_height_units	host_life_stage	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	include_st	latitude	longitude	mass_g	max_age	max_kg_grams	max_tl_cm	method_gear	month	name	notes	notes_on_dissection	num_order	number_db	ocean_basin	p_class	p_fam_common	p_family	p_genus	p_genus_species	p_order	pcr_order	ph_cells_per_g	ph_cells_per_g_log	ph_cells_per_mg	ph_extrapolated_cells_per_60ul_total	ph_extrapolated_cells_per_extra_ln	ph_extrapolated_cells_per_pcr_total	ph_log_reads	ph_r1150	ph_reads_per_mg	ph_total_reads	physical_specimen_location	physical_specimen_remaining	prey_annelids	prey_arthropods	prey_echinoderms	prey_invertebrate	prey_large_fish	prey_mollusks	prey_phytoplankton_algae	prey_shark_marine_mammal	prey_small_fish	prey_zooplankton	primer_plate	qiita_study_id	radii	ratio_dorsal_to_tl	ratio_gape_to_tl	ratio_gi_to_tl	reproductive_process	salinity_tolerance	salinity_tolerance_migration	sample_type	sample_type_2	sample_type_descriptive	sample_types	scientific_name	sd_or_la	season	sex	sjbg_gill	sjbg_gill_direction	sjbg_gill_number	sjbg_gill_orientation	sjbg_gill_sample	sjbg_gill_tissue	sjbg_gill_type	sourcesink	substrata_collection	substrata_group	swim_acceleration	swim_endurance	swim_mode	swim_performance	taxon_id	title	title_fmp_core	tl_cm	trophic	trophic_likely	type_habitat_nonbay_bol	x	y	z
13414.11.skin	Not applicable	11.skin	FALSE	3	4	temperate	soft bottom	2019-06-05	2019	pacific california barracuda	0.3219	LC	0	0		0	18	0	2	11.skin	fish	fishbase.org	18.9	787	TRUE	2	c	c2	0	Host-associated	Animal	Animal surface	11skin	skin	marine biome	animal-associated habitat	mucus	host-associated	116	Sphyraena argentea	clearmag beads KF	9/14/20	PS16L1	0.057			FMP101_P3_skin_1.88	HSW gillnet survey	42.2	11	1	4.3	PB coastal	USA:CA:San Diego	28		3	P	0	1	shallow	neritic	0	0	1	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	Missing: not collected	Missing: not collected	UBERON:skin	0.321941068	UBERON:mucus	UBERON:skin of body	Pacific 'california' barracuda	CA barracuda	46.8	cm	Missing: not collected	Sphyraena argentea	FMP_11	55125	330	grams	1	32.80081	-117.269514	330	12	12	145	gillnet	6	11.skin			491	356	Eastern Pacific	Actinopterygii	barracudas	Sphyraenidae	Sphyraena	Sphyraena argentea	Carangiformes	587	32118402	7.50675393	32118	1830749	5.183447542	152562	4.616370472	1	725263	41340	SIO	Missing: not collected									1		7	13414		0.403846154	0.091880342	0.598290598	oviparous	marine	oceanodromous	fish skin	s	skin swab	"gill, fin, skin, MG, HG"	Sphyraena argentea	315	spring	F								sink	sandy bottom	pelagic	3	1	Esociform	accelerator	55125	FMP101	1	46.8	3	3	TRUE			
13414.12.gill	Not applicable	12.gill	TRUE	2	3	subtropical	soft bottom	2019-06-05	2019	barred sand bass	1.214	LC	0	0		0	183	1	2	12.gill	"benthic invertebrates, fish"	fishbase.org	7.9	787	TRUE	2	d	d2	0	Host-associated	Animal	Animal corpus	12gill	gill	marine biome	animal-associated habitat	organic material	host-associated	116	Paralabrax nebulifer	clearmag beads KF	9/14/20	PS16L1	0.353		PG	FMP101_P4_gill_1.88	HSW gillnet survey	28.8	12	0	4.1	PB coastal	USA:CA:San Diego	39		2	IS	0	0	shallow	neritic	0	0	1	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	Missing: not collected	Missing: not collected	UBERON:respiratory system	1.214005165	UBERON:mucus	UBERON:gill	barred sand bass	barred sand bass	28.8	cm	Missing: not collected	Paralabrax nebulifer	FMP_12	30873	290	grams	1	32.80081	-117.269514	290	31		67	gillnet	6	12.gill			588	300	Eastern Pacific	Actinopterygii	"Sea basses, groupers, and fairy basslets"	Serranidae	Paralabrax	Paralabrax nebulifer	Perciformes	684	67385	4.828563233	67	23787	3.297156929	1982	4.076967952	1	33822	11939	SIO	Missing: not collected				1					1		8	13414		0.274305556	0.142361111	1.354166667	oviparous	marine	marine	fish gill	g	gill tissue	"gill, fin, skin, MG, HG"	Paralabrax nebulifer	259	spring	F								sink	sandy bottom	soft bottom	2	2	Subcarangiform	generalist	30873	FMP101	1	28.8	3	3	TRUE			
13414.12.hg	Not applicable	12.hg	TRUE	3	4	subtropical	soft bottom	2019-06-05	2019	barred sand bass	1.214	LC	0	0		0	183	1	2	12.hg	"benthic invertebrates, fish"	fishbase.org	7.9	787	TRUE	2	d	d2	0	Host-associated	Animal	Animal distal gut	12hg	hindgut	marine biome	animal-associated habitat	intestine environment	host-associated	116	Paralabrax nebulifer	clearmag beads KF	9/10/20	PS16L1	0.057			FMP101_P1_hg_1.88	HSW gillnet survey	28.8	12	0	4.1	PB coastal	USA:CA:San Diego	39		2	IS	0	0	shallow	neritic	0	0	1	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	Missing: not collected	Missing: not collected	UBERON:gastrointestinal system	1.214005165	UBERON:feces	UBERON:digestive tract	barred sand bass	barred sand bass	28.8	cm	Missing: not collected	Paralabrax nebulifer	FMP_12	30873	290	grams	1	32.80081	-117.269514	290	31		67	gillnet	6	12.hg			300	300	Eastern Pacific	Actinopterygii	"Sea basses, groupers, and fairy basslets"	Serranidae	Paralabrax	Paralabrax nebulifer	Perciformes	396	3593995	6.555577469	3594	204858	4.232271059	17071	4.344372622	1	387702	22099	SIO	Missing: not collected				1					1		5	13414		0.274305556	0.142361111	1.354166667	oviparous	marine	marine	fish hindgut digesta	hg	hindgut digesta	"gill, fin, skin, MG, HG"	Paralabrax nebulifer	259	spring	F								sink	sandy bottom	soft bottom	2	2	Subcarangiform	generalist	30873	FMP101	1	28.8	3	3	TRUE			
13414.12.midgut	Not applicable	12.midgut	TRUE	1	1	subtropical	soft bottom	2019-06-05	2019	barred sand bass	1.214	LC	0	0		0	183	1	2	12.midgut	"benthic invertebrates, fish"	fishbase.org	7.9	787	TRUE	2	d	d2	0	Host-associated	Animal	Animal proximal gut	12midgut	midgut	marine biome	animal-associated habitat	intestine environment	host-associated	116	Paralabrax nebulifer	clearmag beads KF	9/10/20	PS16L1	0.0536			FMP101_P2_mg_1.88	HSW gillnet survey	28.8	12	0	4.1	PB coastal	USA:CA:San Diego	39		2	IS	0	0	shallow	neritic	0	0	1	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	Missing: not collected	Missing: not collected	UBERON:gastrointestinal system	1.214005165	UBERON:feces	UBERON:digestive tract	barred sand bass	barred sand bass	28.8	cm	Missing: not collected	Paralabrax nebulifer	FMP_12	30873	290	grams	1	32.80081	-117.269514	290	31		67	gillnet	6	12.midgut			396	300	Eastern Pacific	Actinopterygii	"Sea basses, groupers, and fairy basslets"	Serranidae	Paralabrax	Paralabrax nebulifer	Perciformes	492	2	0.301029996	0	0	-2.029071056	0	2.553883027	0	6679	358	SIO	Missing: not collected				1					1		6	13414		0.274305556	0.142361111	1.354166667	oviparous	marine	marine	fish midgut digesta	mg	midgut digesta	"gill, fin, skin, MG, HG"	Paralabrax nebulifer	259	spring	F								sink	sandy bottom	soft bottom	2	2	Subcarangiform	generalist	30873	FMP101	1	28.8	3	3	TRUE			
13414.12.skin	Not applicable	12.skin	TRUE	2	2	subtropical	soft bottom	2019-06-05	2019	barred sand bass	1.214	LC	0	0		0	183	1	2	12.skin	"benthic invertebrates, fish"	fishbase.org	7.9	787	TRUE	2	d	d2	0	Host-associated	Animal	Animal surface	12skin	skin	marine biome	animal-associated habitat	mucus	host-associated	116	Paralabrax nebulifer	clearmag beads KF	9/14/20	PS16L1	0.089	high		FMP101_P3_skin_1.88	HSW gillnet survey	28.8	12	0	4.1	PB coastal	USA:CA:San Diego	39		2	IS	0	0	shallow	neritic	0	0	1	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	Missing: not collected	Missing: not collected	UBERON:skin	1.214005165	UBERON:mucus	UBERON:skin of body	barred sand bass	barred sand bass	28.8	cm	Missing: not collected	Paralabrax nebulifer	FMP_12	30873	290	grams	1	32.80081	-117.269514	290	31		67	gillnet	6	12.skin			492	300	Eastern Pacific	Actinopterygii	"Sea basses, groupers, and fairy basslets"	Serranidae	Paralabrax	Paralabrax nebulifer	Perciformes	588	32713	4.514720374	33	2911	2.384932022	243	3.816108671	1	73573	6548	SIO	Missing: not collected				1					1		7	13414		0.274305556	0.142361111	1.354166667	oviparous	marine	marine	fish skin	s	skin swab	"gill, fin, skin, MG, HG"	Paralabrax nebulifer	259	spring	F								sink	sandy bottom	soft bottom	2	2	Subcarangiform	generalist	30873	FMP101	1	28.8	3	3	TRUE			
13414.13.gill	Not applicable	13.gill	FALSE	2	2	subtropical	soft bottom	2019-06-05	2019	queen croaker	0.9463	LC	0	0		0	21	1	2	13.gill	"shrimp, worms, fish"	fishbase.org	6.5	787	TRUE	2	e	e2	0	Host-associated	Animal	Animal corpus	13gill	gill	marine biome	animal-associated habitat	organic material	host-associated	116	Seriphus politus	clearmag beads KF	9/14/20	PS16L1	0.203		WG	FMP101_P4_gill_1.88	HSW gillnet survey	19.8	13	1	3.5	PB coastal	USA:CA:San Diego	18.5		2	IS	1	0	shallow	neritic	0	0	1	0	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	Missing: not collected	Missing: not collected	UBERON:respiratory system	0.946325394	UBERON:mucus	UBERON:gill	queen croaker	queenfish	20.2	cm	Missing: not collected	Seriphus politus	FMP_13	515231	78	grams	1	32.80081	-117.269514	78			30	gillnet	6	13.gill			589	283	Eastern Pacific	Actinopterygii	drums or croakers	Sciaenidae	Seriphus	Seriphus politus	Perciformes	685	53732	4.730233006	54	10908	2.958548803	909	3.980139778	1	47059	9553	SIO	Missing: not collected	1	1							1		8	13414		0.321782178	0.173267327	0.915841584	oviparous	brackish	brackish	fish gill	g	gill tissue	"gill, fin, skin, MG, HG"	Seriphus politus	242	spring	F								sink	sandy bottom	soft bottom	2	2	Subcarangiform	generalist	515231	FMP101	1	20.2	3	3	FALSE			
13414.13.hg	Not applicable	13.hg	FALSE	2	3	subtropical	soft bottom	2019-06-05	2019	queen croaker	0.9463	LC	0	0		0	21	1	2	13.hg	"shrimp, worms, fish"	fishbase.org	6.5	787	TRUE	2	e	e2	0	Host-associated	Animal	Animal distal gut	13hg	hindgut	marine biome	animal-associated habitat	intestine environment	host-associated	116	Seriphus politus	clearmag beads KF	9/10/20	PS16L1	0.059	low		FMP101_P1_hg_1.88	HSW gillnet survey	19.8	13	1	3.5	PB coastal	USA:CA:San Diego	18.5		2	IS	1	0	shallow	neritic	0	0	1	0	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	Missing: not collected	Missing: not collected	UBERON:gastrointestinal system	0.946325394	UBERON:feces	UBERON:digestive tract	queen croaker	queenfish	20.2	cm	Missing: not collected	Seriphus politus	FMP_13	515231	78	grams	1	32.80081	-117.269514	78			30	gillnet	6	13.hg			301	283	Eastern Pacific	Actinopterygii	drums or croakers	Sciaenidae	Seriphus	Seriphus politus	Perciformes	397	306906	5.487005379	307	18107	3.178675491	1509	4.043087072	1	187169	11043	SIO	Missing: not collected	1	1							1		5	13414		0.321782178	0.173267327	0.915841584	oviparous	brackish	brackish	fish hindgut digesta	hg	hindgut digesta	"gill, fin, skin, MG, HG"	Seriphus politus	242	spring	F								sink	sandy bottom	soft bottom	2	2	Subcarangiform	generalist	515231	FMP101	1	20.2	3	3	FALSE			
13414.13.midgut	Not applicable	13.midgut	FALSE	3	4	subtropical	soft bottom	2019-06-05	2019	queen croaker	0.9463	LC	0	0		0	21	1	2	13.midgut	"shrimp, worms, fish"	fishbase.org	6.5	787	TRUE	2	e	e2	0	Host-associated	Animal	Animal proximal gut	13midgut	midgut	marine biome	animal-associated habitat	intestine environment	host-associated	116	Seriphus politus	clearmag beads KF	9/10/20	PS16L1	0.0619			FMP101_P2_mg_1.88	HSW gillnet survey	19.8	13	1	3.5	PB coastal	USA:CA:San Diego	18.5		2	IS	1	0	shallow	neritic	0	0	1	0	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	Missing: not collected	Missing: not collected	UBERON:gastrointestinal system	0.946325394	UBERON:feces	UBERON:digestive tract	queen croaker	queenfish	20.2	cm	Missing: not collected	Seriphus politus	FMP_13	515231	78	grams	1	32.80081	-117.269514	78			30	gillnet	6	13.midgut			397	283	Eastern Pacific	Actinopterygii	drums or croakers	Sciaenidae	Seriphus	Seriphus politus	Perciformes	493	1505158	6.177582091	1505	93169	3.89009163	7764	4.2465232	1	284992	17641	SIO	Missing: not collected	1	1							1		6	13414		0.321782178	0.173267327	0.915841584	oviparous	brackish	brackish	fish midgut digesta	mg	midgut digesta	"gill, fin, skin, MG, HG"	Seriphus politus	242	spring	F								sink	sandy bottom	soft bottom	2	2	Subcarangiform	generalist	515231	FMP101	1	20.2	3	3	FALSE			
13414.13.skin	Not applicable	13.skin	FALSE	3	4	subtropical	soft bottom	2019-06-05	2019	queen croaker	0.9463	LC	0	0		0	21	1	2	13.skin	"shrimp, worms, fish"	fishbase.org	6.5	787	TRUE	2	e	e2	0	Host-associated	Animal	Animal surface	13skin	skin	marine biome	animal-associated habitat	mucus	host-associated	116	Seriphus politus	clearmag beads KF	9/14/20	PS16L1	0.067			FMP101_P3_skin_1.88	HSW gillnet survey	19.8	13	1	3.5	PB coastal	USA:CA:San Diego	18.5		2	IS	1	0	shallow	neritic	0	0	1	0	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	Missing: not collected	Missing: not collected	UBERON:skin	0.946325394	UBERON:mucus	UBERON:skin of body	queen croaker	queenfish	20.2	cm	Missing: not collected	Seriphus politus	FMP_13	515231	78	grams	1	32.80081	-117.269514	78			30	gillnet	6	13.skin			493	283	Eastern Pacific	Actinopterygii	drums or croakers	Sciaenidae	Seriphus	Seriphus politus	Perciformes	589	15299130	7.184666735	15299	1025042	4.93156028	85420	4.544340944	1	522716	35022	SIO	Missing: not collected	1	1							1		7	13414		0.321782178	0.173267327	0.915841584	oviparous	brackish	brackish	fish skin	s	skin swab	"gill, fin, skin, MG, HG"	Seriphus politus	242	spring	F								sink	sandy bottom	soft bottom	2	2	Subcarangiform	generalist	515231	FMP101	1	20.2	3	3	FALSE			
13414.14.gill	Not applicable	14.gill	FALSE	3	4	subtropical	soft bottom	2019-06-04	2019	gray smooth-hound shark	0.2909	LC	0	0		0	200	0	3	14.gill	"fish, crabs, ghost shrimp, innkeeper, worms, "	fishbase.org	22.3	315	TRUE	2	f	f2	0	Host-associated	Animal	Animal corpus	14gill	gill	marine biome	animal-associated habitat	organic material	host-associated	465	Mustelus stevensi	clearmag beads KF	9/14/20	PS16L1	0.56		PG	FMP101_P4_gill_1.88	HSW gillnet survey	71.2	14	1	2.7	Mission bay	USA:CA:San Diego	49.5		2	BE	0	0	shallow	neritic	0	0	1	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	Missing: not collected	Missing: not collected	UBERON:respiratory system	0.290903749	UBERON:mucus	UBERON:gill	gray smooth-hound shark	grey smoothound shark	71.2	cm	Missing: not collected	Mustelus californicus	FMP_14	320419	1050	grams	1	32.788406	-117.246274	1050	9		116	gillnet	6	14.gill		not sure about lat long	590	331	Eastern Pacific	Chondrichthyes	houndsharks	Triakidae	Mustelus	Mustelus californicus	Carcharhiniformes	686	68225879	7.83394914	68226	38206492	6.502955921	3183874	4.993696288	1	175998	98559	SIO	Missing: not collected	1	1							1		8	13414		0.313202247	0.037921348	0.695224719	viviparous	marine	marine	fish gill	g	gill tissue	"gill, fin, skin, MG, HG"	Mustelus californicus	290	spring	M								sink	sandy mud bottom	soft bottom	2	3	Carcharhiniform	crusier sprinter	320419	FMP101	1	71.2	3	3	TRUE			
13414.14.hg	Not applicable	14.hg	FALSE	2	3	subtropical	soft bottom	2019-06-04	2019	gray smooth-hound shark	0.2909	LC	0	0		0	200	0	3	14.hg	"fish, crabs, ghost shrimp, innkeeper, worms, "	fishbase.org	22.3	315	TRUE	2	f	f2	0	Host-associated	Animal	Animal distal gut	14hg	hindgut	marine biome	animal-associated habitat	intestine environment	host-associated	465	Mustelus stevensi	clearmag beads KF	9/10/20	PS16L1	0.118			FMP101_P1_hg_1.88	HSW gillnet survey	71.2	14	1	2.7	Mission bay	USA:CA:San Diego	49.5		2	BE	0	0	shallow	neritic	0	0	1	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	Missing: not collected	Missing: not collected	UBERON:gastrointestinal system	0.290903749	UBERON:feces	UBERON:digestive tract	gray smooth-hound shark	grey smoothound shark	71.2	cm	Missing: not collected	Mustelus californicus	FMP_14	320419	1050	grams	1	32.788406	-117.246274	1050	9		116	gillnet	6	14.hg		not sure about lat long	302	331	Eastern Pacific	Chondrichthyes	houndsharks	Triakidae	Mustelus	Mustelus californicus	Carcharhiniformes	398	93320	4.96997473	93	11012	2.962676646	918	3.981320173	1	81178	9579	SIO	Missing: not collected	1	1							1		5	13414		0.313202247	0.037921348	0.695224719	viviparous	marine	marine	fish hindgut digesta	hg	hindgut digesta	"gill, fin, skin, MG, HG"	Mustelus californicus	290	spring	M								sink	sandy mud bottom	soft bottom	2	3	Carcharhiniform	crusier sprinter	320419	FMP101	1	71.2	3	3	TRUE			
13414.14.midgut	Not applicable	14.midgut	FALSE	2	3	subtropical	soft bottom	2019-06-04	2019	gray smooth-hound shark	0.2909	LC	0	0		0	200	0	3	14.midgut	"fish, crabs, ghost shrimp, innkeeper, worms, "	fishbase.org	22.3	315	TRUE	2	f	f2	0	Host-associated	Animal	Animal proximal gut	14midgut	midgut	marine biome	animal-associated habitat	intestine environment	host-associated	465	Mustelus stevensi	clearmag beads KF	9/10/20	PS16L1	0.119			FMP101_P2_mg_1.88	HSW gillnet survey	71.2	14	1	2.7	Mission bay	USA:CA:San Diego	49.5		2	BE	0	0	shallow	neritic	0	0	1	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	Missing: not collected	Missing: not collected	UBERON:gastrointestinal system	0.290903749	UBERON:feces	UBERON:digestive tract	gray smooth-hound shark	grey smoothound shark	71.2	cm	Missing: not collected	Mustelus californicus	FMP_14	320419	1050	grams	1	32.788406	-117.246274	1050	9		116	gillnet	6	14.midgut		not sure about lat long	398	331	Eastern Pacific	Chondrichthyes	houndsharks	Triakidae	Mustelus	Mustelus californicus	Carcharhiniformes	494	82045	4.914052119	82	9763	2.910418352	814	3.966376423	1	77773	9255	SIO	Missing: not collected	1	1							1		6	13414		0.313202247	0.037921348	0.695224719	viviparous	marine	marine	fish midgut digesta	mg	midgut digesta	"gill, fin, skin, MG, HG"	Mustelus californicus	290	spring	M								sink	sandy mud bottom	soft bottom	2	3	Carcharhiniform	crusier sprinter	320419	FMP101	1	71.2	3	3	TRUE			
13414.14.skin	Not applicable	14.skin	FALSE	2	3	subtropical	soft bottom	2019-06-04	2019	gray smooth-hound shark	0.2909	LC	0	0		0	200	0	3	14.skin	"fish, crabs, ghost shrimp, innkeeper, worms, "	fishbase.org	22.3	315	TRUE	2	f	f2	0	Host-associated	Animal	Animal surface	14skin	skin	marine biome	animal-associated habitat	mucus	host-associated	465	Mustelus stevensi	clearmag beads KF	9/14/20	PS16L1	0.049			FMP101_P3_skin_1.88	HSW gillnet survey	71.2	14	1	2.7	Mission bay	USA:CA:San Diego	49.5		2	BE	0	0	shallow	neritic	0	0	1	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	Missing: not collected	Missing: not collected	UBERON:skin	0.290903749	UBERON:mucus	UBERON:skin of body	gray smooth-hound shark	grey smoothound shark	71.2	cm	Missing: not collected	Mustelus californicus	FMP_14	320419	1050	grams	1	32.788406	-117.246274	1050	9		116	gillnet	6	14.skin		not sure about lat long	494	331	Eastern Pacific	Chondrichthyes	houndsharks	Triakidae	Mustelus	Mustelus californicus	Carcharhiniformes	590	63947	4.805820175	64	3133	2.416833937	261	3.825231323	1	136469	6687	SIO	Missing: not collected	1	1							1		7	13414		0.313202247	0.037921348	0.695224719	viviparous	marine	marine	fish skin	s	skin swab	"gill, fin, skin, MG, HG"	Mustelus californicus	290	spring	M								sink	sandy mud bottom	soft bottom	2	3	Carcharhiniform	crusier sprinter	320419	FMP101	1	71.2	3	3	TRUE			
13414.15.gill	Not applicable	15.gill	TRUE	3	4	subtropical	soft bottom	2019-06-04	2019	leopard shark	0.4834	LC	0	0		0	156	0	3	15.gill	"crabs, shrimps, bony fish, worms"	fishbase.org	25	52	TRUE	2	g	g2	0	Host-associated	Animal	Animal corpus	15gill	gill	marine biome	animal-associated habitat	organic material	host-associated	465	Mustelus antarcticus	clearmag beads KF	9/14/20	PS16L1	0.683		PG	FMP101_P4_gill_1.88	HSW gillnet survey	82.9	15	1	3.2	Mission bay	USA:CA:San Diego	52		2	BE	0	0	shallow	neritic	0	0	1	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	Missing: not collected	Missing: not collected	UBERON:respiratory system	0.483392986	UBERON:mucus	UBERON:gill	leopard shark	leopard shark	82.9	cm	Missing: not collected	Triakis semifasciata	FMP_15	30493	2754	grams	1	32.770985	-117.242299	2754	30		198	gillnet	6	15.gill			591	328	Eastern Pacific	Chondrichthyes	houndsharks	Triakidae	Triakis	Triakis semifasciata	Carcharhiniformes	687	17799272	7.25040224	17799	12156903	6.005641689	1013075	4.851484612	1	104007	71037	SIO	Missing: not collected	1	1							1		8	13414		0.301568154	0.038600724	0.627261761	ovoviviparous	brackish	brackish	fish gill	g	gill tissue	"gill, fin, skin, MG, HG"	Triakis semifasciata	287	spring	F								sink	sandy mud bottom	soft bottom	2	3	Carcharhiniform	crusier sprinter	30493	FMP101	1	82.9	3	3	TRUE			
13414.15.hg	Not applicable	15.hg	TRUE	2	3	subtropical	soft bottom	2019-06-04	2019	leopard shark	0.4834	LC	0	0		0	156	0	3	15.hg	"crabs, shrimps, bony fish, worms"	fishbase.org	25	52	TRUE	2	g	g2	0	Host-associated	Animal	Animal distal gut	15hg	hindgut	marine biome	animal-associated habitat	intestine environment	host-associated	465	Mustelus antarcticus	clearmag beads KF	9/10/20	PS16L1	0.121			FMP101_P1_hg_1.88	HSW gillnet survey	82.9	15	1	3.2	Mission bay	USA:CA:San Diego	52		2	BE	0	0	shallow	neritic	0	0	1	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	Missing: not collected	Missing: not collected	UBERON:gastrointestinal system	0.483392986	UBERON:feces	UBERON:digestive tract	leopard shark	leopard shark	82.9	cm	Missing: not collected	Triakis semifasciata	FMP_15	30493	2754	grams	1	32.770985	-117.242299	2754	30		198	gillnet	6	15.hg			303	328	Eastern Pacific	Chondrichthyes	houndsharks	Triakidae	Triakis	Triakis semifasciata	Carcharhiniformes	399	93998	4.973118613	94	11374	2.976722236	948	3.985336642	1	79901	9668	SIO	Missing: not collected	1	1							1		5	13414		0.301568154	0.038600724	0.627261761	ovoviviparous	brackish	brackish	fish hindgut digesta	hg	hindgut digesta	"gill, fin, skin, MG, HG"	Triakis semifasciata	287	spring	F								sink	sandy mud bottom	soft bottom	2	3	Carcharhiniform	crusier sprinter	30493	FMP101	1	82.9	3	3	TRUE			
13414.15.midgut	Not applicable	15.midgut	TRUE	2	3	subtropical	soft bottom	2019-06-04	2019	leopard shark	0.4834	LC	0	0		0	156	0	3	15.midgut	"crabs, shrimps, bony fish, worms"	fishbase.org	25	52	TRUE	2	g	g2	0	Host-associated	Animal	Animal proximal gut	15midgut	midgut	marine biome	animal-associated habitat	intestine environment	host-associated	465	Mustelus antarcticus	clearmag beads KF	9/10/20	PS16L1	0.1316			FMP101_P2_mg_1.88	HSW gillnet survey	82.9	15	1	3.2	Mission bay	USA:CA:San Diego	52		2	BE	0	0	shallow	neritic	0	0	1	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	Missing: not collected	Missing: not collected	UBERON:gastrointestinal system	0.483392986	UBERON:feces	UBERON:digestive tract	leopard shark	leopard shark	82.9	cm	Missing: not collected	Triakis semifasciata	FMP_15	30493	2754	grams	1	32.770985	-117.242299	2754	30		198	gillnet	6	15.midgut			399	328	Eastern Pacific	Chondrichthyes	houndsharks	Triakidae	Triakis	Triakis semifasciata	Carcharhiniformes	495	75942	4.88048203	76	9994	2.920558506	833	3.969276095	1	70798	9317	SIO	Missing: not collected	1	1							1		6	13414		0.301568154	0.038600724	0.627261761	ovoviviparous	brackish	brackish	fish midgut digesta	mg	midgut digesta	"gill, fin, skin, MG, HG"	Triakis semifasciata	287	spring	F								sink	sandy mud bottom	soft bottom	2	3	Carcharhiniform	crusier sprinter	30493	FMP101	1	82.9	3	3	TRUE			
13414.15.skin	Not applicable	15.skin	TRUE	2	2	subtropical	soft bottom	2019-06-04	2019	leopard shark	0.4834	LC	0	0		0	156	0	3	15.skin	"crabs, shrimps, bony fish, worms"	fishbase.org	25	52	TRUE	2	g	g2	0	Host-associated	Animal	Animal surface	15skin	skin	marine biome	animal-associated habitat	mucus	host-associated	465	Mustelus antarcticus	clearmag beads KF	9/14/20	PS16L1	0.297	high		FMP101_P3_skin_1.88	HSW gillnet survey	82.9	15	1	3.2	Mission bay	USA:CA:San Diego	52		2	BE	0	0	shallow	neritic	0	0	1	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	Missing: not collected	Missing: not collected	UBERON:skin	0.483392986	UBERON:mucus	UBERON:skin of body	leopard shark	leopard shark	82.9	cm	Missing: not collected	Triakis semifasciata	FMP_15	30493	2754	grams	1	32.770985	-117.242299	2754	30		198	gillnet	6	15.skin			495	328	Eastern Pacific	Chondrichthyes	houndsharks	Triakidae	Triakis	Triakis semifasciata	Carcharhiniformes	591	22499	4.352163216	22	6682	2.74574783	557	3.919287341	1	27960	8304	SIO	Missing: not collected	1	1							1		7	13414		0.301568154	0.038600724	0.627261761	ovoviviparous	brackish	brackish	fish skin	s	skin swab	"gill, fin, skin, MG, HG"	Triakis semifasciata	287	spring	F								sink	sandy mud bottom	soft bottom	2	3	Carcharhiniform	crusier sprinter	30493	FMP101	1	82.9	3	3	TRUE			
