X.SampleID	common_name	sample_type	collection_date	conservation_status	depth_high_range_m	depth_low_range_m	Depth_m	Diet	dist_to_dorsal_cm	distance_from_shore_m	distance_from_shore_m_log	evo_distanceto_mackerel_median_mya	evo_timetree_species_name	fish_collection_method	fl_cm	gape_cm	gi_cm	hab_notes	habitat_depth_level2	host_body_mass_index	host_common_name	host_height	host_height_vs_max_height_tl	host_scientific_name	host_subject_id	host_taxid	host_weight	mass_g	max_age	max_kg_grams	max_length_cm	max_tl_cm	method_gear	month	number_db	p_family	p_genus	p_genus_species_alternative	p_order	ratio_dorsal_to_tl	ratio_gape_to_tl	ratio_gi_to_tl	sample_type_descriptive	SAMPLE_TYPE	substrata_collection	swim_mode	swim_performance	tl_cm	trophic	p_genus_species
13414.12.midgut.R1.fastq.gz	barred sand bass	midgut	2019-06-05	LC	183	1	2	benthic invertebrates_ fish	7.9	787	2.895974732	116	Paralabrax nebulifer	HSW gillnet survey	28.8	4.1	39	not applicable	neritic	1.214005165	barred sand bass	28.8	43	Paralabrax nebulifer	FMP_12	30873	290	290	31	not applicable	65	67	gillnet	6	300	Serranidae	Paralabrax	Paralabrax nebulifer	Perciformes	0.274305556	0.142361111	1.354166667	midgut digesta	fish midgut digesta	sandy bottom	Subcarangiform	generalist	28.8	3	Paralabrax nebulifer
13414.12.skin.R1.fastq.gz	barred sand bass	skin	2019-06-05	LC	183	1	2	benthic invertebrates_ fish	7.9	787	2.895974732	116	Paralabrax nebulifer	HSW gillnet survey	28.8	4.1	39	not applicable	neritic	1.214005165	barred sand bass	28.8	43	Paralabrax nebulifer	FMP_12	30873	290	290	31	not applicable	65	67	gillnet	6	300	Serranidae	Paralabrax	Paralabrax nebulifer	Perciformes	0.274305556	0.142361111	1.354166667	skin swab	fish skin	sandy bottom	Subcarangiform	generalist	28.8	3	Paralabrax nebulifer
13414.13.gill.R1.fastq.gz	queenfish	gill	2019-06-05	LC	21	1	2	shrimp_ worms_ fish	6.5	787	2.895974732	116	Seriphus politus	HSW gillnet survey	19.8	3.5	18.5	not applicable	neritic	0.946325394	queenfish	20.2	67	Seriphus politus	FMP_13	515231	78	78	not applicable	not applicable	30.5	30	gillnet	6	283	Sciaenidae	Seriphus	Seriphus politus	Perciformes	0.321782178	0.173267327	0.915841584	gill tissue	fish gill	sandy bottom	Subcarangiform	generalist	20.2	3	Seriphus politus
13414.13.hg.R1.fastq.gz	queenfish	hindgut	2019-06-05	LC	21	1	2	shrimp_ worms_ fish	6.5	787	2.895974732	116	Seriphus politus	HSW gillnet survey	19.8	3.5	18.5	not applicable	neritic	0.946325394	queenfish	20.2	67	Seriphus politus	FMP_13	515231	78	78	not applicable	not applicable	30.5	30	gillnet	6	283	Sciaenidae	Seriphus	Seriphus politus	Perciformes	0.321782178	0.173267327	0.915841584	hindgut digesta	fish hindgut digesta	sandy bottom	Subcarangiform	generalist	20.2	3	Seriphus politus
13414.13.midgut.R1.fastq.gz	queenfish	midgut	2019-06-05	LC	21	1	2	shrimp_ worms_ fish	6.5	787	2.895974732	116	Seriphus politus	HSW gillnet survey	19.8	3.5	18.5	not applicable	neritic	0.946325394	queenfish	20.2	67	Seriphus politus	FMP_13	515231	78	78	not applicable	not applicable	30.5	30	gillnet	6	283	Sciaenidae	Seriphus	Seriphus politus	Perciformes	0.321782178	0.173267327	0.915841584	midgut digesta	fish midgut digesta	sandy bottom	Subcarangiform	generalist	20.2	3	Seriphus politus
13414.13.skin.R1.fastq.gz	queenfish	skin	2019-06-05	LC	21	1	2	shrimp_ worms_ fish	6.5	787	2.895974732	116	Seriphus politus	HSW gillnet survey	19.8	3.5	18.5	not applicable	neritic	0.946325394	queenfish	20.2	67	Seriphus politus	FMP_13	515231	78	78	not applicable	not applicable	30.5	30	gillnet	6	283	Sciaenidae	Seriphus	Seriphus politus	Perciformes	0.321782178	0.173267327	0.915841584	skin swab	fish skin	sandy bottom	Subcarangiform	generalist	20.2	3	Seriphus politus
13414.16.gill.R1.fastq.gz	pacific staghorn sculpin	gill	2019-08-20	NE	156	0	1	crab_ shrimp_ amphipod_ larval_ juvenile adult fish_ polychaete worms_ mollusks_ invertebrates	2.2	1	0	116	Leptocottus armatus	tidepool dipnet	8.5	1.4	6.8	not applicable	neritic	1.270099735	pacific staghorn sculpin	8.5	18	Leptocottus armatus	FMP_16	214925	7.8	7.8	10	not applicable	48	46	net	8	164	Cottidae	Leptocottus	Leptocottus armatus	Perciformes	0.258823529	0.164705882	0.8	gill tissue	fish gill	rocky reef	Cottiform	accelerator	8.5	3	Leptocottus armatus
13414.16.hg.R1.fastq.gz	pacific staghorn sculpin	hindgut	2019-08-20	NE	156	0	1	crab_ shrimp_ amphipod_ larval_ juvenile adult fish_ polychaete worms_ mollusks_ invertebrates	2.2	1	0	116	Leptocottus armatus	tidepool dipnet	8.5	1.4	6.8	not applicable	neritic	1.270099735	pacific staghorn sculpin	8.5	18	Leptocottus armatus	FMP_16	214925	7.8	7.8	10	not applicable	48	46	net	8	164	Cottidae	Leptocottus	Leptocottus armatus	Perciformes	0.258823529	0.164705882	0.8	hindgut digesta	fish hindgut digesta	rocky reef	Cottiform	accelerator	8.5	3	Leptocottus armatus
13414.16.midgut.R1.fastq.gz	pacific staghorn sculpin	midgut	2019-08-20	NE	156	0	1	crab_ shrimp_ amphipod_ larval_ juvenile adult fish_ polychaete worms_ mollusks_ invertebrates	2.2	1	0	116	Leptocottus armatus	tidepool dipnet	8.5	1.4	6.8	not applicable	neritic	1.270099735	pacific staghorn sculpin	8.5	18	Leptocottus armatus	FMP_16	214925	7.8	7.8	10	not applicable	48	46	net	8	164	Cottidae	Leptocottus	Leptocottus armatus	Perciformes	0.258823529	0.164705882	0.8	midgut digesta	fish midgut digesta	rocky reef	Cottiform	accelerator	8.5	3	Leptocottus armatus
13414.16.skin.R1.fastq.gz	pacific staghorn sculpin	skin	2019-08-20	NE	156	0	1	crab_ shrimp_ amphipod_ larval_ juvenile adult fish_ polychaete worms_ mollusks_ invertebrates	2.2	1	0	116	Leptocottus armatus	tidepool dipnet	8.5	1.4	6.8	not applicable	neritic	1.270099735	pacific staghorn sculpin	8.5	18	Leptocottus armatus	FMP_16	214925	7.8	7.8	10	not applicable	48	46	net	8	164	Cottidae	Leptocottus	Leptocottus armatus	Perciformes	0.258823529	0.164705882	0.8	skin swab	fish skin	rocky reef	Cottiform	accelerator	8.5	3	Leptocottus armatus
13414.17.gill.R1.fastq.gz	treefish	gill	2019-08-21	NE	90	5	30	fish_ crabs_ shrimp	7.8	2486	3.395501124	116	Sebastes serriceps	hook and line survey	29.8	5	39	reef, bottom, kelp	neritic	2.161460168	treefish	29.8	73	Sebastes serriceps	FMP_17	201707	572	572	25	not applicable	41	41	rod and reel	8	239	Sebastidae	Sebastes	Sebastes serriceps	Perciformes	0.261744966	0.167785235	1.308724832	gill tissue	fish gill	kelp forrest	Labriform	generalist	29.8	3	Sebastes serriceps
13414.17.hg.R1.fastq.gz	treefish	hindgut	2019-08-21	NE	90	5	30	fish_ crabs_ shrimp	7.8	2486	3.395501124	116	Sebastes serriceps	hook and line survey	29.8	5	39	reef, bottom, kelp	neritic	2.161460168	treefish	29.8	73	Sebastes serriceps	FMP_17	201707	572	572	25	not applicable	41	41	rod and reel	8	239	Sebastidae	Sebastes	Sebastes serriceps	Perciformes	0.261744966	0.167785235	1.308724832	hindgut digesta	fish hindgut digesta	kelp forrest	Labriform	generalist	29.8	3	Sebastes serriceps
13414.17.midgut.R1.fastq.gz	treefish	midgut	2019-08-21	NE	90	5	30	fish_ crabs_ shrimp	7.8	2486	3.395501124	116	Sebastes serriceps	hook and line survey	29.8	5	39	reef, bottom, kelp	neritic	2.161460168	treefish	29.8	73	Sebastes serriceps	FMP_17	201707	572	572	25	not applicable	41	41	rod and reel	8	239	Sebastidae	Sebastes	Sebastes serriceps	Perciformes	0.261744966	0.167785235	1.308724832	midgut digesta	fish midgut digesta	kelp forrest	Labriform	generalist	29.8	3	Sebastes serriceps
13414.17.skin.R1.fastq.gz	treefish	skin	2019-08-21	NE	90	5	30	fish_ crabs_ shrimp	7.8	2486	3.395501124	116	Sebastes serriceps	hook and line survey	29.8	5	39	reef, bottom, kelp	neritic	2.161460168	treefish	29.8	73	Sebastes serriceps	FMP_17	201707	572	572	25	not applicable	41	41	rod and reel	8	239	Sebastidae	Sebastes	Sebastes serriceps	Perciformes	0.261744966	0.167785235	1.308724832	skin swab	fish skin	kelp forrest	Labriform	generalist	29.8	3	Sebastes serriceps
13414.23.gill.R1.fastq.gz	giant kelpfish	gill	2019-01-27	NE	40	0	3	crustaceans_ mollusks_ fish	3.3	161	2.206825876	116	Gibbonsia metzi	spearfishing	21.5	1.5	7.7	not applicable	neritic	0.621304691	giant kelpfish	22.3	37	Heterostichus rostratus	FMP_23	57809	68.9	68.9	4	not applicable	61	61	spear	1	357	Clinidae	Heterostichus	Heterostichus rostratus	Blenniiformes	0.147982063	0.067264574	0.34529148	gill tissue	fish gill	rocky reef	Labriform	generalist	22.3	3	Heterostichus rostratus
13414.23.hg.R1.fastq.gz	giant kelpfish	hindgut	2019-01-27	NE	40	0	3	crustaceans_ mollusks_ fish	3.3	161	2.206825876	116	Gibbonsia metzi	spearfishing	21.5	1.5	7.7	not applicable	neritic	0.621304691	giant kelpfish	22.3	37	Heterostichus rostratus	FMP_23	57809	68.9	68.9	4	not applicable	61	61	spear	1	357	Clinidae	Heterostichus	Heterostichus rostratus	Blenniiformes	0.147982063	0.067264574	0.34529148	hindgut digesta	fish hindgut digesta	rocky reef	Labriform	generalist	22.3	3	Heterostichus rostratus
13414.23.midgut.R1.fastq.gz	giant kelpfish	midgut	2019-01-27	NE	40	0	3	crustaceans_ mollusks_ fish	3.3	161	2.206825876	116	Gibbonsia metzi	spearfishing	21.5	1.5	7.7	not applicable	neritic	0.621304691	giant kelpfish	22.3	37	Heterostichus rostratus	FMP_23	57809	68.9	68.9	4	not applicable	61	61	spear	1	357	Clinidae	Heterostichus	Heterostichus rostratus	Blenniiformes	0.147982063	0.067264574	0.34529148	midgut digesta	fish midgut digesta	rocky reef	Labriform	generalist	22.3	3	Heterostichus rostratus
13414.23.skin.R1.fastq.gz	giant kelpfish	skin	2019-01-27	NE	40	0	3	crustaceans_ mollusks_ fish	3.3	161	2.206825876	116	Gibbonsia metzi	spearfishing	21.5	1.5	7.7	not applicable	neritic	0.621304691	giant kelpfish	22.3	37	Heterostichus rostratus	FMP_23	57809	68.9	68.9	4	not applicable	61	61	spear	1	357	Clinidae	Heterostichus	Heterostichus rostratus	Blenniiformes	0.147982063	0.067264574	0.34529148	skin swab	fish skin	rocky reef	Labriform	generalist	22.3	3	Heterostichus rostratus
13414.26.gill.R1.fastq.gz	longfin sanddab	gill	2019-08-08	NE	201	2	35	bony fish_ worm_ crustacean	1	3210	3.506505032	116	Citharichthys arctifrons	hook and line survey	18	1.8	20.3	sandy bottom, muddy bottom	neritic	1.058682715	longfin sanddab	19.5	78	Citharichthys xanthostigma	FMP_26	195600	78.5	78.5	not applicable	not applicable	29	25	rod and reel	8	371	Paralichthyidae	Citharichthys	Citharichthys xanthostigma	Pleuronectiformes	0.051282051	0.092307692	1.041025641	gill tissue	fish gill	kelp forrest	Plueronectiform	flow refuging	19.5	3	Citharichthys xanthostigma
13414.26.hg.R1.fastq.gz	longfin sanddab	hindgut	2019-08-08	NE	201	2	35	bony fish_ worm_ crustacean	1	3210	3.506505032	116	Citharichthys arctifrons	hook and line survey	18	1.8	20.3	sandy bottom, muddy bottom	neritic	1.058682715	longfin sanddab	19.5	78	Citharichthys xanthostigma	FMP_26	195600	78.5	78.5	not applicable	not applicable	29	25	rod and reel	8	371	Paralichthyidae	Citharichthys	Citharichthys xanthostigma	Pleuronectiformes	0.051282051	0.092307692	1.041025641	hindgut digesta	fish hindgut digesta	kelp forrest	Plueronectiform	flow refuging	19.5	3	Citharichthys xanthostigma
13414.26.midgut.R1.fastq.gz	longfin sanddab	midgut	2019-08-08	NE	201	2	35	bony fish_ worm_ crustacean	1	3210	3.506505032	116	Citharichthys arctifrons	hook and line survey	18	1.8	20.3	sandy bottom, muddy bottom	neritic	1.058682715	longfin sanddab	19.5	78	Citharichthys xanthostigma	FMP_26	195600	78.5	78.5	not applicable	not applicable	29	25	rod and reel	8	371	Paralichthyidae	Citharichthys	Citharichthys xanthostigma	Pleuronectiformes	0.051282051	0.092307692	1.041025641	midgut digesta	fish midgut digesta	kelp forrest	Plueronectiform	flow refuging	19.5	3	Citharichthys xanthostigma
13414.26.skin.R1.fastq.gz	longfin sanddab	skin	2019-08-08	NE	201	2	35	bony fish_ worm_ crustacean	1	3210	3.506505032	116	Citharichthys arctifrons	hook and line survey	18	1.8	20.3	sandy bottom, muddy bottom	neritic	1.058682715	longfin sanddab	19.5	78	Citharichthys xanthostigma	FMP_26	195600	78.5	78.5	not applicable	not applicable	29	25	rod and reel	8	371	Paralichthyidae	Citharichthys	Citharichthys xanthostigma	Pleuronectiformes	0.051282051	0.092307692	1.041025641	skin swab	fish skin	kelp forrest	Plueronectiform	flow refuging	19.5	3	Citharichthys xanthostigma
13414.27.gill.R1.fastq.gz	calico rockfish	gill	2019-08-08	DD	256	18	35	fish_ amphipods_ bivalves_ cephalopods_ shrimp_ copepods	5.2	3210	3.506505032	116	Sebastes dallii	hook and line survey	17.4	3.2	19	reef, hard bottom, sand reef interface	neritic	1.688834455	calico rockfish	18.3	73	Sebastes dallii	FMP_27	394690	103.5	103.5	12	not applicable	25.4	25	rod and reel	8	263	Sebastidae	Sebastes	Sebastes dallii	Perciformes	0.284153005	0.174863388	1.038251366	gill tissue	fish gill	kelp forrest	Labriform	generalist	18.3	3	Sebastes dallii
13414.27.hg.R1.fastq.gz	calico rockfish	hindgut	2019-08-08	DD	256	18	35	fish_ amphipods_ bivalves_ cephalopods_ shrimp_ copepods	5.2	3210	3.506505032	116	Sebastes dallii	hook and line survey	17.4	3.2	19	reef, hard bottom, sand reef interface	neritic	1.688834455	calico rockfish	18.3	73	Sebastes dallii	FMP_27	394690	103.5	103.5	12	not applicable	25.4	25	rod and reel	8	263	Sebastidae	Sebastes	Sebastes dallii	Perciformes	0.284153005	0.174863388	1.038251366	hindgut digesta	fish hindgut digesta	kelp forrest	Labriform	generalist	18.3	3	Sebastes dallii
13414.27.midgut.R1.fastq.gz	calico rockfish	midgut	2019-08-08	DD	256	18	35	fish_ amphipods_ bivalves_ cephalopods_ shrimp_ copepods	5.2	3210	3.506505032	116	Sebastes dallii	hook and line survey	17.4	3.2	19	reef, hard bottom, sand reef interface	neritic	1.688834455	calico rockfish	18.3	73	Sebastes dallii	FMP_27	394690	103.5	103.5	12	not applicable	25.4	25	rod and reel	8	263	Sebastidae	Sebastes	Sebastes dallii	Perciformes	0.284153005	0.174863388	1.038251366	midgut digesta	fish midgut digesta	kelp forrest	Labriform	generalist	18.3	3	Sebastes dallii
13414.27.skin.R1.fastq.gz	calico rockfish	skin	2019-08-08	DD	256	18	35	fish_ amphipods_ bivalves_ cephalopods_ shrimp_ copepods	5.2	3210	3.506505032	116	Sebastes dallii	hook and line survey	17.4	3.2	19	reef, hard bottom, sand reef interface	neritic	1.688834455	calico rockfish	18.3	73	Sebastes dallii	FMP_27	394690	103.5	103.5	12	not applicable	25.4	25	rod and reel	8	263	Sebastidae	Sebastes	Sebastes dallii	Perciformes	0.284153005	0.174863388	1.038251366	skin swab	fish skin	kelp forrest	Labriform	generalist	18.3	3	Sebastes dallii
13414.28.gill.R1.fastq.gz	vermilion rockfish	gill	2019-08-08	NE	274	15	35	fish_ squid_ octopus_ shrimp	8.1	3210	3.506505032	116	Sebastes miniatus	hook and line survey	26.9	4.4	33.4	not applicable	neritic	1.483876784	vermilion rockfish	27.5	30	Sebastes miniatus	FMP_28	72087	308.6	308.6	60	6.8	76	91	rod and reel	8	219	Sebastidae	Sebastes	Sebastes miniatus	Perciformes	0.294545455	0.16	1.214545455	gill tissue	fish gill	kelp forrest	Labriform	generalist	27.5	3	Sebastes miniatus
13414.28.hg.R1.fastq.gz	vermilion rockfish	hindgut	2019-08-08	NE	274	15	35	fish_ squid_ octopus_ shrimp	8.1	3210	3.506505032	116	Sebastes miniatus	hook and line survey	26.9	4.4	33.4	not applicable	neritic	1.483876784	vermilion rockfish	27.5	30	Sebastes miniatus	FMP_28	72087	308.6	308.6	60	6.8	76	91	rod and reel	8	219	Sebastidae	Sebastes	Sebastes miniatus	Perciformes	0.294545455	0.16	1.214545455	hindgut digesta	fish hindgut digesta	kelp forrest	Labriform	generalist	27.5	3	Sebastes miniatus
13414.28.midgut.R1.fastq.gz	vermilion rockfish	midgut	2019-08-08	NE	274	15	35	fish_ squid_ octopus_ shrimp	8.1	3210	3.506505032	116	Sebastes miniatus	hook and line survey	26.9	4.4	33.4	not applicable	neritic	1.483876784	vermilion rockfish	27.5	30	Sebastes miniatus	FMP_28	72087	308.6	308.6	60	6.8	76	91	rod and reel	8	219	Sebastidae	Sebastes	Sebastes miniatus	Perciformes	0.294545455	0.16	1.214545455	midgut digesta	fish midgut digesta	kelp forrest	Labriform	generalist	27.5	3	Sebastes miniatus
13414.28.skin.R1.fastq.gz	vermilion rockfish	skin	2019-08-08	NE	274	15	35	fish_ squid_ octopus_ shrimp	8.1	3210	3.506505032	116	Sebastes miniatus	hook and line survey	26.9	4.4	33.4	not applicable	neritic	1.483876784	vermilion rockfish	27.5	30	Sebastes miniatus	FMP_28	72087	308.6	308.6	60	6.8	76	91	rod and reel	8	219	Sebastidae	Sebastes	Sebastes miniatus	Perciformes	0.294545455	0.16	1.214545455	skin swab	fish skin	kelp forrest	Labriform	generalist	27.5	3	Sebastes miniatus
13414.3.gill.R1.fastq.gz	honeycomb rockfish	gill	2019-08-21	not applicable	119	30	30	small fish_ crabs_ shrimp	8.5	2486	3.395501124	116	Sebastes umbrosus	hook and line survey	28.3	6	32	rock reef, benthic	neritic	1.718414599	honeycomb rockfish	28.6	96	Sebastes umbrosus	FMP_3	72105	402	402	not applicable	0.57	30	29.8	rod and reel	8	277	Sebastidae	Sebastes	Sebastes umbrosus	Perciformes	0.297202797	0.20979021	1.118881119	gill tissue	fish gill	rocky reef	Labriform	generalist	28.6	3	Sebastes umbrosus
13414.3.hg.R1.fastq.gz	honeycomb rockfish	hindgut	2019-08-21	not applicable	119	30	30	small fish_ crabs_ shrimp	8.5	2486	3.395501124	116	Sebastes umbrosus	hook and line survey	28.3	6	32	rock reef, benthic	neritic	1.718414599	honeycomb rockfish	28.6	96	Sebastes umbrosus	FMP_3	72105	402	402	not applicable	0.57	30	29.8	rod and reel	8	277	Sebastidae	Sebastes	Sebastes umbrosus	Perciformes	0.297202797	0.20979021	1.118881119	hindgut digesta	fish hindgut digesta	rocky reef	Labriform	generalist	28.6	3	Sebastes umbrosus
13414.3.midgut.R1.fastq.gz	honeycomb rockfish	midgut	2019-08-21	not applicable	119	30	30	small fish_ crabs_ shrimp	8.5	2486	3.395501124	116	Sebastes umbrosus	hook and line survey	28.3	6	32	rock reef, benthic	neritic	1.718414599	honeycomb rockfish	28.6	96	Sebastes umbrosus	FMP_3	72105	402	402	not applicable	0.57	30	29.8	rod and reel	8	277	Sebastidae	Sebastes	Sebastes umbrosus	Perciformes	0.297202797	0.20979021	1.118881119	midgut digesta	fish midgut digesta	rocky reef	Labriform	generalist	28.6	3	Sebastes umbrosus
13414.3.skin.R1.fastq.gz	honeycomb rockfish	skin	2019-08-21	not applicable	119	30	30	small fish_ crabs_ shrimp	8.5	2486	3.395501124	116	Sebastes umbrosus	hook and line survey	28.3	6	32	rock reef, benthic	neritic	1.718414599	honeycomb rockfish	28.6	96	Sebastes umbrosus	FMP_3	72105	402	402	not applicable	0.57	30	29.8	rod and reel	8	277	Sebastidae	Sebastes	Sebastes umbrosus	Perciformes	0.297202797	0.20979021	1.118881119	skin swab	fish skin	rocky reef	Labriform	generalist	28.6	3	Sebastes umbrosus
13414.35.gill.R1.fastq.gz	Spotted bay bass	gill	2019-08-02	LC	61	0	3	small fish_ benthic crustaceans	9	5	0.698970004	116	Paralabrax	spear	31	4.1	68.5	not applicable	neritic	1.392245547	Spotted bay bass	31.7	53	Paralabrax maculatofasciatus	FMP_35	147646	443.5	443.5	20	0.9	41.5	60	spear	8	341	Serranidae	Paralabrax	Paralabrax maculatofasciatus	Perciformes	0.283911672	0.129337539	2.160883281	gill tissue	fish gill	rocky reef	Subcarangiform	generalist	31.7	3	Paralabrax maculatofasciatus
13414.35.hg.R1.fastq.gz	Spotted bay bass	hindgut	2019-08-02	LC	61	0	3	small fish_ benthic crustaceans	9	5	0.698970004	116	Paralabrax	spear	31	4.1	68.5	not applicable	neritic	1.392245547	Spotted bay bass	31.7	53	Paralabrax maculatofasciatus	FMP_35	147646	443.5	443.5	20	0.9	41.5	60	spear	8	341	Serranidae	Paralabrax	Paralabrax maculatofasciatus	Perciformes	0.283911672	0.129337539	2.160883281	hindgut digesta	fish hindgut digesta	rocky reef	Subcarangiform	generalist	31.7	3	Paralabrax maculatofasciatus
13414.35.midgut.R1.fastq.gz	Spotted bay bass	midgut	2019-08-02	LC	61	0	3	small fish_ benthic crustaceans	9	5	0.698970004	116	Paralabrax	spear	31	4.1	68.5	not applicable	neritic	1.392245547	Spotted bay bass	31.7	53	Paralabrax maculatofasciatus	FMP_35	147646	443.5	443.5	20	0.9	41.5	60	spear	8	341	Serranidae	Paralabrax	Paralabrax maculatofasciatus	Perciformes	0.283911672	0.129337539	2.160883281	midgut digesta	fish midgut digesta	rocky reef	Subcarangiform	generalist	31.7	3	Paralabrax maculatofasciatus
