sample-id	absolute-filepath
13414.20201103.SjapGill.L1.leading.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L1.leading.R1.fastq.gz
13414.20201103.SjapGill.L1.mid.1.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L1.mid.1.R1.fastq.gz
13414.20201103.SjapGill.L1.mid.2.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L1.mid.2.R1.fastq.gz
13414.20201103.SjapGill.L1.mid.3.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L1.mid.3.R1.fastq.gz
13414.20201103.SjapGill.L1.top.1.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L1.top.1.R1.fastq.gz
13414.20201103.SjapGill.L1.top.2.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L1.top.2.R1.fastq.gz
13414.20201103.SjapGill.L1.top.3.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L1.top.3.R1.fastq.gz
13414.20201103.SjapGill.L1.trailing.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L1.trailing.R1.fastq.gz
13414.20201103.SjapGill.L2.bot.1.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L2.bot.1.R1.fastq.gz
13414.20201103.SjapGill.L2.bot.2.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L2.bot.2.R1.fastq.gz
13414.20201103.SjapGill.L2.bot.3.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L2.bot.3.R1.fastq.gz
13414.20201103.SjapGill.L2.leading.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L2.leading.R1.fastq.gz
13414.20201103.SjapGill.L2.mid.1.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L2.mid.1.R1.fastq.gz
13414.20201103.SjapGill.L2.mid.2.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L2.mid.2.R1.fastq.gz
13414.20201103.SjapGill.L2.mid.3.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L2.mid.3.R1.fastq.gz
13414.20201103.SjapGill.L2.top.1.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L2.top.1.R1.fastq.gz
13414.20201103.SjapGill.L2.top.2.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L2.top.2.R1.fastq.gz
13414.20201103.SjapGill.L2.top.3.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L2.top.3.R1.fastq.gz
13414.20201103.SjapGill.L2.trailing.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L2.trailing.R1.fastq.gz
13414.20201103.SjapGill.L3.bot.1.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L3.bot.1.R1.fastq.gz
13414.20201103.SjapGill.L3.bot.2.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L3.bot.2.R1.fastq.gz
13414.20201103.SjapGill.L3.bot.3.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L3.bot.3.R1.fastq.gz
13414.20201103.SjapGill.L3.leading.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L3.leading.R1.fastq.gz
13414.20201103.SjapGill.L3.mid.1.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L3.mid.1.R1.fastq.gz
13414.20201103.SjapGill.L3.mid.2.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L3.mid.2.R1.fastq.gz
13414.20201103.SjapGill.L3.mid.3.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L3.mid.3.R1.fastq.gz
13414.20201103.SjapGill.L3.top.1.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L3.top.1.R1.fastq.gz
13414.20201103.SjapGill.L3.top.2.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L3.top.2.R1.fastq.gz
13414.20201103.SjapGill.L3.top.3.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L3.top.3.R1.fastq.gz
13414.20201103.SjapGill.L3.trailing.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L3.trailing.R1.fastq.gz
13414.20201103.SjapGill.L4.bot.2.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L4.bot.2.R1.fastq.gz
13414.20201103.SjapGill.L4.bot.3.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L4.bot.3.R1.fastq.gz
13414.20201103.SjapGill.L4.mid.2.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L4.mid.2.R1.fastq.gz
13414.20201103.SjapGill.L4.mid.3.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L4.mid.3.R1.fastq.gz
13414.20201103.SjapGill.L4.top.2.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L4.top.2.R1.fastq.gz
13414.20201103.SjapGill.L4.top.3.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L4.top.3.R1.fastq.gz
13414.20201103.SjapGill.R1.bot.1.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R1.bot.1.R1.fastq.gz
13414.20201103.SjapGill.R1.bot.2.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R1.bot.2.R1.fastq.gz
13414.20201103.SjapGill.R1.bot.3.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R1.bot.3.R1.fastq.gz
13414.20201103.SjapGill.R1.leading.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R1.leading.R1.fastq.gz
13414.20201103.SjapGill.R1.mid.1.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R1.mid.1.R1.fastq.gz
13414.20201103.SjapGill.R1.mid.2.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R1.mid.2.R1.fastq.gz
13414.20201103.SjapGill.R1.mid.3.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R1.mid.3.R1.fastq.gz
13414.20201103.SjapGill.R1.top.1.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R1.top.1.R1.fastq.gz
13414.20201103.SjapGill.R1.top.2.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R1.top.2.R1.fastq.gz
13414.20201103.SjapGill.R1.top.3.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R1.top.3.R1.fastq.gz
13414.20201103.SjapGill.R1.trailing.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R1.trailing.R1.fastq.gz
13414.20201103.SjapGill.R2.bot.1.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R2.bot.1.R1.fastq.gz
13414.20201103.SjapGill.R2.bot.2.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R2.bot.2.R1.fastq.gz
13414.20201103.SjapGill.R2.bot.3.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R2.bot.3.R1.fastq.gz
13414.20201103.SjapGill.R2.leading.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R2.leading.R1.fastq.gz
13414.20201103.SjapGill.R2.mid.1.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R2.mid.1.R1.fastq.gz
13414.20201103.SjapGill.R2.mid.2.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R2.mid.2.R1.fastq.gz
13414.20201103.SjapGill.R2.mid.3.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R2.mid.3.R1.fastq.gz
13414.20201103.SjapGill.R2.top.1.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R2.top.1.R1.fastq.gz
13414.20201103.SjapGill.R2.top.2.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R2.top.2.R1.fastq.gz
13414.20201103.SjapGill.R2.top.3.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R2.top.3.R1.fastq.gz
13414.20201103.SjapGill.R2.trailing.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R2.trailing.R1.fastq.gz
13414.20201103.SjapGill.R3.bot.1.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R3.bot.1.R1.fastq.gz
13414.20201103.SjapGill.R3.bot.2.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R3.bot.2.R1.fastq.gz
13414.20201103.SjapGill.R3.bot.3.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R3.bot.3.R1.fastq.gz
13414.20201103.SjapGill.R3.leading.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R3.leading.R1.fastq.gz
13414.20201103.SjapGill.R3.mid.1.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R3.mid.1.R1.fastq.gz
13414.20201103.SjapGill.R3.mid.2.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R3.mid.2.R1.fastq.gz
13414.20201103.SjapGill.R3.mid.3.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R3.mid.3.R1.fastq.gz
13414.20201103.SjapGill.R3.top.1.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R3.top.1.R1.fastq.gz
13414.20201103.SjapGill.R3.top.2.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R3.top.2.R1.fastq.gz
13414.20201103.SjapGill.R3.top.3.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R3.top.3.R1.fastq.gz
13414.20201103.SjapGill.R3.trailing.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R3.trailing.R1.fastq.gz
13414.20201103.SjapGill.R4.bot.2.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R4.bot.2.R1.fastq.gz
13414.20201103.SjapGill.R4.bot.3.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R4.bot.3.R1.fastq.gz
13414.20201103.SjapGill.R4.mid.2.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R4.mid.2.R1.fastq.gz
13414.20201103.SjapGill.R4.mid.3.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R4.mid.3.R1.fastq.gz
13414.20201103.SjapGill.R4.top.2.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R4.top.2.R1.fastq.gz
13414.20201103.SjapGill.R4.top.3.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.R4.top.3.R1.fastq.gz
13414.21.gill.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.21.gill.R1.fastq.gz
13414.21.hg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.21.hg.R1.fastq.gz
13414.21.midgut.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.21.midgut.R1.fastq.gz
13414.21.skin.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.21.skin.R1.fastq.gz
13414.22.gill.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.22.gill.R1.fastq.gz
13414.22.hg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.22.hg.R1.fastq.gz
13414.22.midgut.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.22.midgut.R1.fastq.gz
13414.22.skin.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.22.skin.R1.fastq.gz
13414.23.gill.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.23.gill.R1.fastq.gz
13414.23.hg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.23.hg.R1.fastq.gz
13414.23.midgut.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.23.midgut.R1.fastq.gz
13414.23.skin.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.23.skin.R1.fastq.gz
13414.24.gill.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.24.gill.R1.fastq.gz
13414.24.hg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.24.hg.R1.fastq.gz
13414.24.midgut.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.24.midgut.R1.fastq.gz
13414.24.skin.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.24.skin.R1.fastq.gz
13414.25.gill.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.25.gill.R1.fastq.gz
13414.25.hg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.25.hg.R1.fastq.gz
13414.25.midgut.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.25.midgut.R1.fastq.gz
13414.25.skin.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.25.skin.R1.fastq.gz
13414.26.gill.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.26.gill.R1.fastq.gz
13414.26.hg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.26.hg.R1.fastq.gz
13414.26.midgut.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.26.midgut.R1.fastq.gz
13414.26.skin.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.26.skin.R1.fastq.gz
13414.27.gill.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.27.gill.R1.fastq.gz
13414.27.hg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.27.hg.R1.fastq.gz
13414.27.midgut.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.27.midgut.R1.fastq.gz
13414.27.skin.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.27.skin.R1.fastq.gz
13414.28.gill.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.28.gill.R1.fastq.gz
13414.28.hg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.28.hg.R1.fastq.gz
13414.28.midgut.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.28.midgut.R1.fastq.gz
13414.28.skin.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.28.skin.R1.fastq.gz
13414.29.gill.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.29.gill.R1.fastq.gz
13414.29.hg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.29.hg.R1.fastq.gz
13414.29.midgut.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.29.midgut.R1.fastq.gz
13414.29.skin.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.29.skin.R1.fastq.gz
13414.3.gill.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.3.gill.R1.fastq.gz
13414.3.hg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.3.hg.R1.fastq.gz
13414.3.midgut.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.3.midgut.R1.fastq.gz
13414.3.skin.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.3.skin.R1.fastq.gz
13414.30.gill.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.30.gill.R1.fastq.gz
13414.30.hg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.30.hg.R1.fastq.gz
13414.30.midgut.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.30.midgut.R1.fastq.gz
13414.30.skin.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.30.skin.R1.fastq.gz
13414.31.gill.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.31.gill.R1.fastq.gz
13414.31.hg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.31.hg.R1.fastq.gz
13414.31.midgut.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.31.midgut.R1.fastq.gz
13414.31.skin.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.31.skin.R1.fastq.gz
13414.32.gill.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.32.gill.R1.fastq.gz
13414.32.hg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.32.hg.R1.fastq.gz
13414.32.midgut.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.32.midgut.R1.fastq.gz
13414.32.skin.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.32.skin.R1.fastq.gz
13414.33.gill.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.33.gill.R1.fastq.gz
13414.33.hg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.33.hg.R1.fastq.gz
13414.33.midgut.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.33.midgut.R1.fastq.gz
13414.33.skin.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.33.skin.R1.fastq.gz
13414.34.gill.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.34.gill.R1.fastq.gz
13414.34.hg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.34.hg.R1.fastq.gz
13414.34.midgut.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.34.midgut.R1.fastq.gz
13414.34.skin.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.34.skin.R1.fastq.gz
13414.35.gill.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.35.gill.R1.fastq.gz
13414.35.hg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.35.hg.R1.fastq.gz
13414.35.midgut.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.35.midgut.R1.fastq.gz
13414.35.skin.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.35.skin.R1.fastq.gz
13414.36.gill.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.36.gill.R1.fastq.gz
13414.36.hg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.36.hg.R1.fastq.gz
